time_in_cycles,T50,P30,Ps30,Nc,NRf,phi,BPR,W32,htBleed,RUL
1,1400.6,554.36,47.47,9046.19,2388.02,521.66,8.4195,23.419,392,191
2,1403.14,553.75,47.49,9044.07,2388.07,522.28,8.4318,23.4236,392,190
3,1404.2,554.26,47.27,9052.94,2388.03,522.42,8.4178,23.3442,390,189
4,1401.87,554.45,47.13,9049.48,2388.08,522.86,8.3682,23.3739,392,188
5,1406.22,554.0,47.28,9055.15,2388.04,522.19,8.4294,23.4044,393,187
6,1398.37,554.67,47.16,9049.68,2388.03,521.68,8.4108,23.3669,391,186
7,1397.77,554.34,47.36,9059.13,2388.03,522.32,8.3974,23.3774,392,185
8,1400.97,553.85,47.24,9040.8,2388.03,522.47,8.4076,23.3106,391,184
9,1394.8,553.69,47.29,9046.46,2388.05,521.79,8.3728,23.4066,392,183
10,1400.46,553.59,47.03,9051.7,2388.06,521.79,8.4286,23.4694,393,182
11,1400.64,554.54,47.15,9049.61,2388.01,521.4,8.434,23.4787,392,181
12,1400.15,554.52,47.18,9049.37,2388.02,521.8,8.3938,23.366,391,180
13,1400.83,553.44,47.38,9046.82,2388.08,521.85,8.4152,23.2757,393,179
14,1399.16,554.48,47.44,9047.37,2388.0,521.67,8.3964,23.3826,393,178
15,1402.13,553.64,47.3,9052.22,2388.08,522.5,8.4199,23.35,391,177
16,1404.5,553.94,47.24,9049.34,2388.07,521.49,8.3936,23.455,392,176
17,1399.95,553.8,47.12,9054.92,2388.04,521.89,8.4542,23.3319,392,175
18,1396.12,554.2,47.21,9049.55,2388.07,521.76,8.4028,23.3987,392,174
19,1400.35,554.18,47.4,9053.99,2388.03,521.89,8.4321,23.3464,391,173
20,1405.23,554.81,47.22,9045.9,2388.02,522.07,8.421,23.422,392,172
21,1398.13,554.08,47.15,9048.15,2388.08,522.42,8.4049,23.3101,392,171
22,1400.57,553.63,47.24,9061.21,2388.03,522.0,8.4034,23.3792,392,170
23,1394.75,553.98,47.25,9046.28,2388.05,521.52,8.424,23.4562,392,169
24,1398.81,553.49,47.44,9043.76,2388.03,522.13,8.3891,23.3696,392,168
25,1399.39,554.0,47.36,9054.16,2388.02,522.56,8.3917,23.4288,393,167
26,1396.07,554.11,47.26,9047.11,2388.06,522.28,8.426,23.4149,394,166
27,1401.84,554.07,47.37,9047.96,2388.13,522.0,8.4046,23.4472,393,165
28,1399.13,554.68,47.41,9049.84,2388.08,522.57,8.4323,23.2841,390,164
29,1400.99,554.25,47.24,9050.47,2388.06,522.41,8.4189,23.3597,393,163
30,1396.08,554.37,47.4,9045.62,2388.0,522.19,8.4065,23.411,390,162
31,1396.9,554.13,47.41,9058.78,2388.06,521.95,8.4104,23.3353,392,161
32,1400.36,554.96,47.25,9050.97,2388.07,521.92,8.4148,23.4999,392,160
33,1402.43,554.61,47.28,9047.13,2388.08,521.91,8.3753,23.3506,392,159
34,1400.48,554.3,47.47,9046.46,2388.09,521.7,8.4349,23.3092,392,158
35,1403.0,554.3,47.31,9045.76,2388.01,521.75,8.443,23.4164,391,157
36,1405.54,554.53,47.25,9044.56,2388.04,522.32,8.4246,23.4308,392,156
37,1398.9,554.63,47.29,9055.44,2388.04,522.29,8.4142,23.4352,392,155
38,1399.5,554.7,47.27,9055.27,2388.08,522.42,8.4158,23.4768,392,154
39,1400.69,553.97,47.12,9051.76,2388.05,522.23,8.414,23.3699,392,153
40,1401.77,554.57,47.33,9052.98,2388.01,521.84,8.3784,23.3769,392,152
41,1403.21,553.72,47.09,9048.99,2388.03,522.07,8.437,23.4444,392,151
42,1401.38,553.94,47.49,9057.06,2388.05,522.23,8.4137,23.375,392,150
43,1406.05,553.68,47.32,9057.88,2388.09,522.74,8.4068,23.3148,392,149
44,1401.2,554.15,47.45,9046.87,2388.0,522.3,8.4201,23.4753,392,148
45,1399.16,553.83,47.45,9060.32,2388.05,521.73,8.4099,23.3943,393,147
46,1401.27,553.76,47.2,9060.38,2388.08,522.02,8.3977,23.3745,393,146
47,1402.89,554.38,47.22,9052.04,2388.05,521.84,8.3973,23.4873,392,145
48,1399.16,554.02,47.4,9045.26,2388.06,521.91,8.4376,23.365,392,144
49,1397.76,554.23,47.22,9050.64,2388.04,521.37,8.4151,23.4498,392,143
50,1403.62,553.92,47.47,9048.6,2388.09,522.33,8.4116,23.4106,392,142
51,1400.42,553.73,47.12,9047.09,2388.05,521.91,8.4504,23.3651,393,141
52,1395.57,553.04,47.07,9056.01,2388.07,522.1,8.4539,23.3388,391,140
53,1402.26,554.16,47.29,9051.15,2388.06,521.96,8.4418,23.3775,392,139
