time_in_cycles,T50,P30,Ps30,Nc,NRf,phi,BPR,W32,htBleed,RUL
24,1406.22,552.91,47.43,9053.69,2388.11,521.53,8.4314,23.33,394,167
116,1404.9,554.3,47.42,9078.73,2388.03,522.76,8.3808,23.3267,390,115
119,1402.17,553.31,47.17,9047.77,2388.11,521.81,8.4055,23.2714,393,115
72,1404.95,554.29,47.33,9057.49,2388.0,522.2,8.4213,23.4385,392,127
15,1405.2,553.0,47.54,9046.89,2388.16,521.48,8.4235,23.2681,393,243
212,1403.79,553.83,47.58,9057.51,2388.08,522.14,8.4328,23.2464,392,124
191,1428.62,552.75,47.97,9150.36,2388.19,519.2,8.5265,23.0973,395,3
66,1403.75,553.55,47.25,9062.51,2388.07,521.58,8.4136,23.28,392,147
65,1395.51,554.14,47.27,9065.93,2388.04,522.47,8.412,23.4004,392,129
112,1407.55,553.35,47.58,9061.1,2388.09,521.3,8.4796,23.3286,394,60
203,1424.97,551.76,48.01,9059.28,2388.22,520.1,8.5472,23.014,397,12
110,1407.36,554.21,47.75,9054.37,2388.08,521.02,8.471,23.2551,393,37
145,1397.85,554.06,47.35,9073.92,2388.01,522.19,8.4253,23.2876,393,131
33,1400.33,554.43,47.23,9066.31,2388.02,522.09,8.3938,23.2761,393,183
185,1415.04,552.83,47.74,9105.16,2388.11,521.26,8.4833,23.3286,393,28
155,1424.95,551.84,48.23,9055.83,2388.3,519.44,8.5058,23.0874,396,1
154,1420.98,553.13,47.75,9052.71,2388.16,520.93,8.4174,23.2002,395,113
85,1418.11,553.59,47.88,9051.09,2388.11,521.15,8.4395,23.2519,393,125
140,1414.0,553.06,47.63,9067.07,2388.12,521.31,8.4449,23.2543,395,60
222,1411.66,553.56,47.52,9068.24,2388.1,521.46,8.4414,23.3147,393,65
60,1406.9,552.75,47.47,9040.18,2388.15,521.5,8.4205,23.2712,392,128
89,1417.6,552.83,47.59,9051.44,2388.1,521.55,8.4498,23.3059,393,79
61,1412.68,552.06,47.62,9049.62,2388.15,520.94,8.4216,23.2989,392,206
68,1402.78,553.42,47.19,9057.66,2388.02,521.31,8.4391,23.327,395,130
19,1398.36,554.52,47.25,9049.69,2387.97,522.54,8.3837,23.4471,391,212
156,1408.78,552.77,47.81,9061.56,2388.09,520.74,8.4592,23.1787,393,40
145,1426.0,551.31,48.07,9070.29,2388.25,520.21,8.5291,23.0945,395,9
242,1412.77,552.25,47.84,9075.34,2388.12,520.98,8.5127,23.08,393,71
