iter	RMSE
0	0.8440741885
1	0.8039030146
2	0.7658456641
3	0.7287930488
4	0.695043836
5	0.6641033685
6	0.6350634057
7	0.6096652225
8	0.5849648359
9	0.5616883917
10	0.5402289787
11	0.5201290442
12	0.5017129214
13	0.4849163173
14	0.4697259678
15	0.4553265047
16	0.44267405
17	0.4307178875
18	0.4196903511
19	0.4093134497
20	0.4001906829
21	0.391948391
22	0.3841525464
23	0.3770575525
24	0.3705639374
25	0.3643962001
26	0.359184036
27	0.3541522667
28	0.3499069564
29	0.3460059197
30	0.3422410122
31	0.3390214037
32	0.3362714017
33	0.3336308008
34	0.3312517454
35	0.328958707
36	0.3271019958
37	0.32536852
38	0.3235956522
39	0.3218581109
40	0.3204122159
41	0.3190738705
42	0.3178391378
43	0.3167086217
44	0.3155608676
45	0.3146298551
46	0.3136820678
47	0.3128738393
48	0.3121387054
49	0.3112998706
50	0.3106067221
51	0.3098619899
52	0.3091586598
53	0.3086281675
54	0.308090326
55	0.3074964067
56	0.3069988552
57	0.3065632257
58	0.3062237668
59	0.3057602721
60	0.3054395824
61	0.3050326373
62	0.3047309464
63	0.3044691673
64	0.3041346168
65	0.303804603
66	0.3035263256
67	0.3032734178
68	0.3029972143
69	0.3027137661
70	0.3025322899
71	0.3023270025
72	0.3020951449
73	0.3018609448
74	0.3015814998
75	0.3014225277
76	0.3012753242
77	0.30111249
78	0.3009097224
79	0.3007106817
80	0.3004939553
81	0.3003430962
82	0.3001438785
83	0.2999676602
84	0.2997434976
85	0.2995457089
86	0.2993709781
87	0.2992680049
88	0.2990680644
89	0.2989372803
90	0.2987364737
91	0.2985884657
92	0.2984364468
93	0.2982616416
94	0.2981023572
95	0.2978943481
96	0.2977708768
97	0.2976082904
98	0.2974835583
99	0.2973912378
100	0.2972542794
101	0.2970762061
102	0.2969633776
103	0.2968841438
104	0.2967139488
105	0.2965664267
106	0.2964314108
107	0.2963476483
108	0.2962166157
109	0.2961335309
110	0.2960406669
111	0.2959496425
112	0.2957661066
113	0.2956447557
114	0.2955529168
115	0.2953313136
116	0.295189316
117	0.2950377505
118	0.2948905261
119	0.2948085936
120	0.294692454
121	0.2945928555
122	0.2944965178
123	0.2944091859
124	0.2943074067
125	0.2942455464
126	0.2940994134
127	0.29403539
128	0.2939016005
129	0.2937755649
130	0.2937259683
131	0.2936181827
132	0.2934909478
133	0.293377894
134	0.2932387028
135	0.2931314337
136	0.2930661887
137	0.292886068
138	0.2927933406
139	0.2927271231
140	0.2925336406
141	0.2924329106
142	0.2922809217
143	0.2921950639
144	0.2920544335
145	0.2918718827
146	0.2917215362
147	0.2916075408
148	0.2915188725
149	0.291377762
150	0.2912919459
151	0.2912233412
152	0.2911132466
153	0.2910472393
154	0.2909821524
155	0.2909045501
156	0.2908011013
157	0.2907075925
158	0.2906039203
159	0.2904720612
160	0.2903650062
161	0.2902839103
162	0.2902039305
163	0.2900963608
164	0.2900408749
165	0.2899524584
166	0.2898172431
167	0.2896865084
168	0.2895868418
169	0.2895047964
170	0.2894118724
171	0.2893207499
172	0.289257837
173	0.2892109436
174	0.2891365387
175	0.2890711397
176	0.2889856898
177	0.2888378119
178	0.2887515395
179	0.2886689203
180	0.2885480847
181	0.2884521823
182	0.2883829899
183	0.2883236659
184	0.28819266
185	0.2881112448
186	0.2880431386
187	0.2879843485
188	0.2878852224
189	0.2878055157
190	0.2877315499
191	0.287621477
192	0.2874948795
193	0.2874076622
194	0.2873010218
195	0.2872000855
196	0.2870716253
197	0.2869407274
198	0.2868284869
199	0.286742088
200	0.2866442509
201	0.2864998102
202	0.2863980751
203	0.2863403917
204	0.2862518656
205	0.2861241566
206	0.2860433153
207	0.2859827405
208	0.2859185588
209	0.2858412355
210	0.2857231096
211	0.2856137439
212	0.2855011113
213	0.2853660211
214	0.2852959352
215	0.285220637
216	0.2851428133
217	0.2850469028
218	0.2849336856
219	0.2848147651
220	0.2847656097
221	0.2846875074
222	0.2846318635
223	0.2845184934
224	0.2844017321
225	0.2843354246
226	0.2842454681
227	0.2841909291
228	0.2840596902
229	0.284010782
230	0.2839237525
231	0.2838437938
232	0.2837686713
233	0.2836876367
234	0.283633896
235	0.2835758712
236	0.2834790723
237	0.2833467354
238	0.2832524539
239	0.2831614254
240	0.2831049968
241	0.2830141303
242	0.2829526489
243	0.2828970287
244	0.2827249807
245	0.2826381003
246	0.2825657041
247	0.2824431008
248	0.2823110151
249	0.2821756071
250	0.2820903322
251	0.2819922666
252	0.281926553
253	0.2818091938
254	0.2817514803
255	0.2816752856
256	0.2816042072
257	0.2815558319
258	0.2814934687
259	0.2814191663
260	0.2813446744
261	0.2812801148
262	0.2812138048
263	0.2811692675
264	0.281061442
265	0.2809794914
266	0.2808803452
267	0.280791896
268	0.2807449782
269	0.2806852621
270	0.2805737686
271	0.2804397409
272	0.2804011607
273	0.280307212
274	0.2802581508
275	0.2801744789
276	0.2801058656
277	0.2800652181
278	0.2799729579
279	0.2799244327
280	0.2798578004
281	0.2798241706
282	0.2797421468
283	0.2796303498
284	0.2795445706
285	0.279468236
286	0.2794092556
287	0.2793517833
288	0.2792540682
289	0.2792040757
290	0.2791629136
291	0.2791250683
292	0.2790409602
293	0.2789939576
294	0.278901099
295	0.2788336363
296	0.278785472
297	0.2787290841
298	0.2786715062
299	0.278590393
300	0.27850523
301	0.2784632122
302	0.2783493184
303	0.2782918121
304	0.2782471583
305	0.2782067125
306	0.278146733
307	0.2780586521
308	0.2779700347
309	0.2779378912
310	0.2778323943
311	0.2777625745
312	0.2776933693
313	0.2776054359
314	0.2774965984
315	0.277436626
316	0.2773509992
317	0.2772667063
318	0.2772177878
319	0.277113883
320	0.2770563925
321	0.2769533661
322	0.2768930918
323	0.2768117351
324	0.2767118446
325	0.2766156337
326	0.2765661752
327	0.2765193863
328	0.2764492853
329	0.2763565985
330	0.2763125394
331	0.2762334709
332	0.2761813024
333	0.276123257
334	0.2760789356
335	0.2760345954
336	0.2759439417
337	0.2758938614
338	0.2758113633
339	0.2757002867
340	0.2756028946
341	0.2755272871
342	0.2754727506
343	0.275420944
344	0.275363721
345	0.2752690195
346	0.2752253264
347	0.275147232
348	0.2750534327
349	0.2749687337
350	0.2749316311
351	0.2748631605
352	0.2748002118
353	0.2747584357
354	0.2746974834
355	0.2746135048
356	0.2745513152
357	0.2744743332
358	0.2744015895
359	0.27431902
360	0.2742279725
361	0.274164455
362	0.2741063573
363	0.2740555345
364	0.2740056096
365	0.2739460166
366	0.273893542
367	0.2738436647
368	0.2737710224
369	0.2737236757
370	0.2736469732
371	0.2735869176
372	0.2735010635
373	0.2734350364
374	0.2733882255
375	0.2733379992
376	0.2732628228
377	0.2731961285
378	0.2731464045
379	0.273079982
380	0.273038345
381	0.2729681766
382	0.2729183564
383	0.2728703864
384	0.2728262781
385	0.2727751569
386	0.2727225871
387	0.2726583438
388	0.2725971404
389	0.2725423243
390	0.2724967646
391	0.2724422644
392	0.2723699067
393	0.2723157919
394	0.2722917593
395	0.2722245308
396	0.2721660605
397	0.2720398321
398	0.2719989162
399	0.2719456178
400	0.2718925893
401	0.2718217392
402	0.2717548532
403	0.2716970834
404	0.2716076624
405	0.2715560156
406	0.271501482
407	0.2714471096
408	0.2713815765
409	0.2712782123
410	0.2712102539
411	0.2711539907
412	0.2711045963
413	0.2710609857
414	0.2710150122
415	0.2709607061
416	0.2708935605
417	0.2708427732
418	0.2707939437
419	0.2707147063
420	0.270674378
421	0.27060217
422	0.2705422533
423	0.2705138789
424	0.2704302107
