iter	Passed	Remaining
0	60	60190
1	61	30914
2	63	21113
3	65	16203
4	66	13256
5	68	11277
6	69	9876
7	71	8825
8	72	7998
9	74	7344
10	75	6806
11	77	6355
12	78	5973
13	80	5641
14	81	5349
15	83	5116
16	84	4891
17	85	4688
18	87	4512
19	89	4364
20	90	4213
21	91	4076
22	93	3952
23	94	3835
24	95	3729
25	96	3631
26	98	3539
27	99	3454
28	100	3375
29	102	3300
30	103	3231
31	104	3165
32	106	3112
33	108	3083
34	110	3040
35	111	2996
36	113	2958
37	115	2919
38	116	2880
39	118	2842
40	120	2807
41	121	2775
42	123	2739
43	124	2713
44	127	2698
45	128	2667
46	130	2638
47	131	2616
48	133	2589
49	134	2564
50	136	2543
51	138	2523
52	140	2502
53	141	2486
54	143	2469
55	145	2448
56	146	2429
57	148	2412
58	150	2392
59	151	2373
60	152	2355
61	154	2344
62	156	2331
63	158	2317
64	159	2301
65	161	2284
66	163	2273
67	164	2260
68	166	2245
69	167	2230
70	169	2215
71	170	2202
72	172	2191
73	173	2175
74	175	2165
75	177	2158
76	178	2145
77	180	2131
78	182	2124
79	183	2114
80	185	2102
81	186	2090
82	188	2078
83	189	2067
84	191	2059
85	192	2050
86	194	2041
87	196	2031
88	197	2024
89	199	2014
90	200	2006
91	202	1999
92	204	1991
93	205	1983
94	207	1977
95	209	1971
96	211	1965
97	212	1958
98	214	1951
99	215	1942
100	217	1936
101	219	1931
102	220	1922
103	222	1914
104	223	1907
105	225	1899
106	226	1891
107	228	1883
108	229	1875
109	231	1870
110	232	1862
111	234	1856
112	235	1850
113	237	1843
114	238	1837
115	240	1832
116	242	1830
117	244	1825
118	245	1820
119	247	1814
120	249	1810
121	250	1806
122	252	1799
123	253	1793
124	255	1791
125	257	1786
126	259	1780
127	260	1775
128	261	1768
129	263	1764
130	265	1758
131	266	1752
132	268	1748
133	269	1742
134	271	1737
135	272	1733
136	274	1727
137	275	1722
138	277	1717
139	278	1712
140	280	1707
141	281	1703
142	283	1699
143	285	1696
144	287	1693
145	289	1692
146	291	1689
147	292	1685
148	294	1680
149	295	1675
150	297	1670
151	298	1665
152	300	1661
153	301	1657
154	303	1653
155	304	1649
156	306	1646
157	308	1642
158	309	1638
159	311	1635
160	313	1633
161	315	1630
162	317	1628
163	318	1623
164	320	1621
165	322	1617
166	323	1615
167	325	1612
168	326	1607
169	328	1604
170	330	1601
171	331	1598
172	333	1594
173	335	1591
174	337	1591
175	338	1586
176	340	1583
177	341	1579
178	343	1575
179	344	1571
180	346	1567
181	348	1564
182	349	1560
183	351	1557
184	352	1555
185	354	1553
186	356	1550
187	358	1548
188	360	1546
189	361	1542
190	363	1539
191	364	1535
192	366	1531
193	367	1527
194	369	1524
195	371	1522
196	372	1520
197	374	1516
198	376	1513
199	377	1509
200	378	1505
201	380	1502
202	381	1499
203	383	1496
204	385	1493
205	386	1491
206	388	1487
207	389	1484
208	391	1482
209	393	1481
210	395	1478
211	397	1475
212	398	1473
213	400	1470
214	401	1466
215	403	1463
216	404	1459
217	405	1456
218	407	1453
219	409	1451
220	410	1448
221	412	1445
222	414	1443
223	415	1440
224	417	1437
225	419	1435
226	420	1433
227	422	1430
228	423	1427
229	425	1425
230	427	1422
231	428	1419
232	430	1416
233	431	1413
234	433	1410
235	434	1408
236	436	1405
237	438	1403
238	440	1402
239	442	1400
240	443	1397
241	445	1394
242	446	1391
243	448	1388
244	449	1385
245	451	1383
246	453	1381
247	454	1378
248	456	1375
249	458	1374
250	460	1372
251	461	1370
252	463	1367
253	464	1365
254	466	1362
255	468	1360
256	469	1358
257	471	1357
258	473	1354
259	475	1352
260	476	1349
261	478	1347
262	479	1344
263	481	1342
264	483	1339
265	484	1337
266	486	1334
267	487	1331
268	489	1330
269	491	1327
270	492	1325
271	494	1324
272	496	1322
273	498	1319
274	499	1317
275	501	1315
276	503	1313
277	504	1310
278	506	1307
279	507	1305
280	509	1303
281	510	1300
282	512	1298
283	514	1296
284	515	1293
285	517	1291
286	518	1289
287	520	1286
288	522	1284
289	523	1282
290	525	1279
291	526	1277
292	528	1275
293	530	1273
294	532	1271
295	533	1269
296	535	1266
297	536	1264
298	538	1261
299	539	1259
300	541	1257
301	543	1255
302	544	1253
303	546	1251
304	548	1249
305	550	1248
306	552	1246
307	553	1244
308	555	1242
309	557	1240
310	558	1238
311	560	1236
312	562	1233
313	564	1232
314	565	1230
315	567	1227
316	568	1225
317	570	1222
318	571	1220
319	573	1218
320	575	1216
321	576	1214
322	577	1211
323	579	1209
324	581	1207
325	582	1204
326	584	1202
327	585	1200
328	587	1197
329	588	1195
330	590	1193
331	591	1190
332	593	1188
333	594	1185
334	596	1184
335	598	1182
336	599	1179
337	601	1177
338	602	1175
339	604	1173
340	605	1171
341	607	1169
342	609	1167
343	611	1165
344	613	1163
345	614	1161
346	616	1159
347	617	1157
348	619	1155
349	621	1153
350	622	1151
351	624	1148
352	626	1147
353	627	1145
354	629	1144
355	631	1142
356	633	1140
357	634	1138
358	636	1136
359	637	1133
360	639	1132
361	641	1130
362	643	1128
363	645	1127
364	646	1124
365	648	1122
366	649	1120
367	651	1119
368	653	1116
369	654	1114
370	656	1112
371	658	1110
372	659	1108
373	660	1105
374	662	1103
375	663	1101
376	665	1099
377	666	1097
378	668	1095
379	670	1093
380	672	1091
381	674	1090
382	675	1088
383	677	1086
384	679	1085
385	680	1083
386	682	1081
387	684	1079
388	686	1077
389	687	1075
390	689	1074
391	691	1072
392	693	1070
393	694	1068
394	696	1066
395	698	1064
396	699	1062
397	701	1061
398	703	1059
399	705	1057
400	706	1055
401	707	1053
402	709	1050
403	710	1048
404	712	1046
405	714	1044
406	715	1042
407	716	1040
408	718	1038
409	719	1036
410	721	1034
411	723	1032
412	724	1030
413	726	1028
414	728	1026
415	730	1025
416	732	1023
417	733	1021
418	735	1019
419	737	1017
420	738	1015
421	740	1013
422	741	1011
423	743	1010
424	745	1008
425	746	1006
426	748	1004
427	750	1002
428	752	1001
429	754	999
430	755	997
431	757	995
432	758	993
433	760	992
434	762	990
435	764	988
436	765	986
437	767	984
438	769	983
439	771	981
440	772	979
441	774	977
442	775	975
443	777	973
444	778	971
445	780	969
446	782	967
447	783	965
448	785	963
449	787	962
450	788	960
451	790	958
452	792	956
453	793	954
454	795	952
455	797	950
456	798	949
457	800	947
458	802	945
459	803	943
460	805	941
461	807	939
462	809	938
463	810	936
464	812	934
465	814	932
466	815	930
467	817	929
468	818	927
469	820	924
470	821	922
471	823	920
472	825	919
473	826	917
474	828	915
475	830	913
476	831	911
477	833	910
478	834	908
479	836	906
480	837	904
481	839	902
482	841	900
483	842	898
484	844	896
485	845	894
486	847	892
487	848	890
488	850	889
489	852	887
490	854	885
491	855	883
492	857	882
493	859	880
494	860	878
495	862	876
496	864	874
497	865	872
498	866	870
499	868	868
500	869	866
501	871	864
502	872	862
503	874	860
504	875	858
505	877	856
506	879	855
507	881	853
508	882	851
509	884	849
510	886	848
511	887	846
512	890	844
513	891	843
514	893	841
515	895	839
516	896	837
517	898	835
518	899	833
519	901	831
520	902	830
521	905	829
522	906	827
523	908	825
524	910	823
525	911	821
526	913	819
527	914	817
528	916	816
529	918	814
530	919	812
531	921	810
532	923	809
533	925	807
534	927	806
535	928	804
536	930	802
537	932	800
538	933	798
539	935	796
540	936	794
541	938	793
542	940	791
543	941	789
544	943	787
545	944	785
546	946	783
547	948	782
548	949	780
549	950	778
550	952	776
551	954	774
552	956	772
553	957	771
554	959	769
555	961	767
556	963	766
557	965	764
558	966	762
559	968	760
560	969	758
561	971	756
562	972	754
563	973	752
564	975	751
565	977	749
566	978	747
567	980	745
568	981	743
569	983	741
570	984	739
571	986	737
572	987	735
573	989	734
574	990	732
575	992	730
576	994	728
577	995	726
578	997	725
579	998	723
580	1000	721
581	1002	720
582	1004	718
583	1005	716
584	1007	714
585	1009	712
586	1010	711
587	1012	709
588	1013	707
589	1015	705
590	1016	703
591	1018	702
592	1020	700
593	1022	698
594	1024	697
595	1026	695
