iter	RMSE
0	0.8268084967
1	0.7959745527
2	0.7655937806
3	0.736596681
4	0.7092076135
5	0.6835857289
6	0.6602978027
7	0.6384987014
8	0.6179803534
9	0.5975453085
10	0.5788787115
11	0.5605553106
12	0.5436723322
13	0.5278822359
14	0.5128311198
15	0.4987122307
16	0.4858030262
17	0.4736217353
18	0.462162964
19	0.4514909954
20	0.4418111263
21	0.432259129
22	0.4232680511
23	0.4150497043
24	0.407606001
25	0.4001866019
26	0.3936165247
27	0.3872117048
28	0.3816590381
29	0.3761898189
30	0.3708394161
31	0.3659906237
32	0.3617377526
33	0.3573795357
34	0.3535498851
35	0.3499429334
36	0.3467225257
37	0.3440513369
38	0.3411599272
39	0.3385575562
40	0.336203004
41	0.3339257166
42	0.3318029205
43	0.3297200122
44	0.3277984326
45	0.3261754619
46	0.3244659093
47	0.3229310109
48	0.3216222219
49	0.3202237138
50	0.3189720615
51	0.3178010281
52	0.3167356666
53	0.3157075477
54	0.3147242285
55	0.3137403102
56	0.3129015855
57	0.3120518392
58	0.3112562632
59	0.31054136
60	0.3098413244
61	0.3091339333
62	0.308519338
63	0.308034463
64	0.3076073524
65	0.3069702552
66	0.3065053398
67	0.3060245352
68	0.3056414458
69	0.3052434467
70	0.304817623
71	0.3044924718
72	0.3041672383
73	0.3038704192
74	0.3035255726
75	0.3032232305
76	0.3029668987
77	0.3026907163
78	0.3023587924
79	0.3020819679
80	0.3018719012
81	0.3016279651
82	0.3014020362
83	0.3012310914
84	0.3009976412
85	0.3007610891
86	0.3005025322
87	0.3003558556
88	0.3001814443
89	0.3000125647
90	0.2998781581
91	0.2997336729
92	0.2995831114
93	0.2993866338
94	0.2991964847
95	0.2990119369
96	0.2988866077
97	0.2987315644
98	0.2985933016
99	0.2984618515
100	0.2982925047
101	0.2981813389
102	0.2980962057
103	0.2979875005
104	0.2978297874
105	0.2976870135
106	0.2975506339
107	0.2974829821
108	0.2973769966
109	0.2972820274
110	0.2971447241
111	0.297039612
112	0.2968783548
113	0.296764269
114	0.2966609159
115	0.2965436274
116	0.2963741922
117	0.2962962388
118	0.2962216192
119	0.2961224584
120	0.2959467677
121	0.2958506319
122	0.2957324402
123	0.2956437191
124	0.2955108697
125	0.2954557357
126	0.2953892368
127	0.295320098
128	0.2952471451
129	0.2951726499
130	0.2951148948
131	0.2950297856
132	0.2949437874
133	0.2948628292
134	0.2947776373
135	0.2946190492
136	0.2945610705
137	0.294451909
138	0.294349714
139	0.2942919796
140	0.2942155421
141	0.2941351221
142	0.2940529708
143	0.2939612987
144	0.2939025406
145	0.2938317067
146	0.2937839553
147	0.2936990165
148	0.2936117563
149	0.2935271637
150	0.2934510538
151	0.2933459745
152	0.2932391288
153	0.2931364561
154	0.2930798571
155	0.2930350072
156	0.2929432534
157	0.2928738711
158	0.2928337036
159	0.2927783859
160	0.2926543277
161	0.2925651779
162	0.2925144823
163	0.2924403602
164	0.2923857159
165	0.2923466844
166	0.2922667495
167	0.2921889176
168	0.2920992941
169	0.2919859437
170	0.291923086
171	0.2918727983
172	0.2918337901
173	0.2917083437
174	0.2916184917
175	0.2915276933
176	0.2914417416
177	0.2913675102
178	0.2912924448
179	0.2911836921
180	0.2911097129
181	0.2909958845
182	0.2909518663
183	0.2908675717
184	0.29084594
185	0.290783102
186	0.29073195
187	0.2906864111
188	0.2906509613
189	0.2905622106
190	0.2905103856
191	0.2904285911
192	0.2903176579
193	0.2902447017
194	0.2901906856
195	0.2901592244
196	0.2900517697
197	0.289962079
198	0.2899058659
199	0.2898350837
200	0.2897922302
201	0.2897408227
202	0.2896888662
203	0.2896329573
204	0.2895862469
205	0.2895351242
206	0.2894903372
207	0.2894173954
208	0.289369486
209	0.2892996221
210	0.2892604365
211	0.2891770089
212	0.2891091324
213	0.2890406545
214	0.2890127985
215	0.2889813336
216	0.2888947542
217	0.2888448632
218	0.2887621815
219	0.2887188091
220	0.2886817967
221	0.2886100136
222	0.2885507008
