iter	Passed	Remaining
0	2	1394
1	5	1289
2	7	1173
3	8	1089
4	11	1098
5	12	1047
6	14	1011
7	15	978
8	17	952
9	19	941
10	20	931
11	22	929
12	24	920
13	26	914
14	28	922
15	30	907
16	31	899
17	33	895
18	35	886
19	36	884
20	38	882
21	40	882
22	42	871
23	43	863
24	44	854
25	46	847
26	48	843
27	49	841
28	51	838
29	53	836
30	55	835
31	56	833
32	59	837
33	60	833
34	62	827
35	63	821
36	65	813
37	66	808
38	67	803
39	69	801
40	71	800
41	73	799
42	75	797
43	76	791
44	77	787
45	79	783
46	80	779
47	82	774
48	84	773
49	85	770
50	87	767
51	88	763
52	90	761
53	91	756
54	93	752
55	94	749
56	96	746
57	98	747
58	99	745
59	101	741
60	102	738
61	104	737
62	106	738
63	107	734
64	109	734
65	111	730
66	112	726
67	113	724
68	115	721
69	117	719
70	118	717
71	120	716
72	122	714
73	123	712
74	126	715
75	127	711
76	129	709
77	130	706
78	132	704
79	133	701
80	135	699
81	136	697
82	138	695
83	140	694
84	141	691
85	143	688
86	144	686
87	145	683
88	147	682
89	149	679
90	151	678
91	152	677
92	154	676
93	156	674
94	157	672
95	159	672
96	161	669
97	162	667
98	164	664
99	165	661
100	166	659
101	168	658
102	170	657
103	172	655
104	174	656
105	175	654
106	177	652
107	179	650
108	180	648
109	182	647
110	184	645
111	185	642
112	186	640
113	188	639
114	190	637
115	191	635
116	193	633
117	195	631
118	196	629
119	197	626
120	199	625
121	201	624
122	203	623
123	205	623
124	206	620
125	208	618
126	209	616
127	212	617
128	214	616
129	216	615
130	218	614
131	219	612
132	221	611
133	223	609
134	224	607
135	226	605
136	227	603
137	229	601
138	230	599
139	232	598
140	234	596
141	236	595
142	237	594
143	239	593
144	241	592
145	243	590
146	245	588
147	246	586
148	248	585
149	250	583
150	251	581
151	253	580
152	254	578
153	256	576
154	258	574
155	259	572
156	261	570
157	263	569
158	264	567
159	266	565
160	268	564
161	269	562
162	271	560
163	272	558
164	273	555
165	275	553
166	277	552
167	278	550
168	280	548
169	281	547
170	283	545
171	284	543
172	286	541
173	288	539
174	289	537
175	290	535
176	292	533
177	293	531
178	295	529
179	296	527
180	298	525
181	299	523
182	301	522
183	303	520
184	304	519
185	306	517
186	307	515
187	309	513
188	310	511
189	312	509
190	313	507
191	315	505
192	316	504
193	318	502
194	319	500
195	321	498
196	322	495
197	323	493
198	325	491
199	326	489
200	328	488
201	329	486
202	331	484
203	332	483
204	334	481
205	336	480
206	337	478
207	339	476
208	340	474
209	342	473
210	344	471
211	345	469
212	347	468
213	348	466
214	350	464
215	351	462
216	353	460
217	354	458
218	356	457
219	357	455
220	359	453
221	361	452
222	362	450
223	364	448
224	365	446
225	367	445
226	368	443
227	370	441
228	371	439
229	373	438
230	374	436
231	376	434
232	378	433
233	379	431
234	381	430
235	383	428
236	384	426
237	385	424
238	387	423
239	389	421
240	391	420
241	392	418
242	394	417
243	396	416
244	398	414
245	399	412
246	401	411
247	402	409
248	404	407
249	405	405
250	407	404
251	408	402
252	410	401
253	412	399
254	414	398
255	416	396
256	417	395
257	419	393
258	420	391
259	422	389
260	423	387
261	425	386
262	426	384
263	428	383
264	430	381
265	431	379
266	433	377
267	434	376
268	436	374
269	437	373
270	439	371
271	441	369
272	442	368
273	444	366
274	445	364
275	447	363
276	448	361
277	450	359
278	451	357
279	453	356
280	455	354
281	456	352
282	458	351
283	460	349
284	461	348
285	463	346
286	464	344
287	466	343
288	467	341
289	469	340
290	471	338
291	472	336
292	474	335
293	475	333
294	477	331
295	479	330
296	480	328
297	482	327
298	483	325
299	485	323
300	487	322
301	488	320
302	490	318
303	491	316
304	493	315
305	494	313
306	496	311
307	497	310
308	499	308
309	500	306
310	502	305
311	503	303
312	505	302
313	507	300
314	509	299
315	510	297
316	512	295
317	513	294
318	515	292
319	516	290
320	518	288
321	519	287
322	520	285
323	522	283
324	524	282
325	525	280
326	526	278
327	528	277
328	530	275
329	531	273
330	533	272
331	535	270
332	536	269
333	538	267
334	539	265
335	541	264
336	543	262
337	544	261
338	546	259
339	547	257
340	549	256
341	550	254
342	552	252
343	553	251
344	555	249
345	557	248
346	558	246
347	560	244
348	561	243
349	563	241
350	565	239
351	566	238
352	568	236
353	569	235
354	571	233
355	572	231
356	574	230
357	575	228
358	577	226
359	579	225
360	580	223
361	581	221
362	583	220
363	584	218
364	586	216
365	588	215
366	589	213
367	591	212
368	593	210
369	594	208
370	596	207
371	597	205
372	598	203
373	600	202
374	602	200
375	603	199
376	605	197
377	607	195
378	608	194
379	609	192
380	611	190
381	612	189
382	614	187
383	615	185
384	617	184
385	618	182
386	620	181
387	621	179
388	623	177
389	625	176
390	627	174
391	628	173
392	630	171
393	631	169
394	632	168
395	634	166
396	635	164
397	637	163
398	638	161
399	640	160
400	641	158
401	643	156
402	645	155
403	647	153
404	648	152
405	650	150
406	651	148
407	653	147
408	655	145
409	656	144
